HOMD.org Taxon Data::Site/Status Filter applied Date: 2022-08-12
HMT_ID	Domain	Phylum	Class	Order	Family	Genus	Species	Status	Body_site	Warning	Type_strain	16S_rRNA	Clone_count	Clone_%	Clone_rank	Synonyms	NCBI_taxon_id	NCBI_pubmed_count	NCBI_nucleotide_count	NCBI_protein_count	Genome_ID	General_info	Cultivability	Phenotypic_characteristics	Prevalence	Disease	References
001	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Bartonellaceae	Bartonella	schoenbuchensis	Named	Unassigned	0		NR_025410				Strain TFI A28SC	165694	9	93	5894	SEQF2664						
002	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Caulobacter	sp._HMT_002	Phylotype	Unassigned	0		DQ493433				Oral Clone AW149	712237	0	2	0							
003	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	glacialis	Named	Unassigned	0	ATCC 14820	AF385529				Oral Clone AV069	59803	0	2	0	SEQF3079						
004	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	sp._HMT_004	Phylotype	Unassigned	0		AF385533				Oral Clone AW030	712605	0	1	0							
005	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	lwoffii	Named	Unassigned	0							28090	0	0	0	SEQF2884						
006	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Novosphingobium	humi	Phylotype	Unassigned	0		AY349411				Oral Clone FI012	712606	0	1	0							
007	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Erythrobacteraceae	Erythrobacter	tepidarius	Named	Unassigned	0	DSM 10594	AJ223452				Oral Clone BF019	60454	0	2	0	SEQF3080						
008	Bacteria	Firmicutes	Clostridia	Eubacteriales	Peptostreptococcaceae	Mogibacterium	vescum	Named	Unassigned	0		AB021702					86333	1	13	0							
010	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	radioresistens	Named	Unassigned	0							40216	0	0	0	SEQF2864						
011	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Eikenella	sp._HMT_011	Lost	Oral	0		L06165				Oral Strain UB-204	712272	0	1	0							
012	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Kingella	sp._HMT_012	Phylotype	Oral	0		AF366267				Oral Clone DE012	712319	0	10	0							
013	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria	bacilliformis	Named	Oral	0		AY005029				Oral Clone AK105	267212	4	158	5922	SEQF1969						
014	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria	oralis	Named	Oral	0	6332 | DSM 25276 | LMG 26725	AY005023 | AY005025 | GQ131417 | JN104029				Neisseria sp. F0314 | Neisseria sp. oral taxon 014 | Oral Clone AP015 | Oral Clone AP085	1107316	2	17	1	SEQF1659	Neisseria sp. Oral taxon 014 strain F0314 has been isolated from a human subject by the Moore's Laboratory in June 1982. The subject was a 23 year old American white female. The bacteria was isolated from the subgingival oral biofilm at a healthy site. The bacteria was grown in anaerobic conditions. The partial 16S ribosomal RNA gene was deposited to GenBank under the reference GQ131417. The strain is available at www.bei.org under the reference HM-91. This strain is part of the reference strains for the oral section of the Human Microbiome Project.  The species has been named <EM>Neisseria oralis</EM>.  The genome is available as ADEA00000000.  The genome link above may be disrupted until name at NCBI officially gets changed.					
017	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Anaerococcus	octavius	Named	Unassigned	0							54007	0	0	0	SEQF3146 | SEQF3147						
018	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria	sp._HMT_018	Phylotype	Oral	0		AY005027				Oral Clone AP132	712400	0	5	0							
019	Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Corynebacteriaceae	Corynebacterium	accolens	Named	Nasal	0							38284	0	0	0	SEQF2935 | SEQF2937 | SEQF2940 | SEQF2953 | SEQF2954 | SEQF2986 | SEQF2988 | SEQF3026 | SEQF3027						
020	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria	sp._HMT_020	Unnamed	Oral	0		AY005028				Strain TFI B33KA	712401	0	472	5752	SEQF1944						
021	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	vestibularis	Named	Oral	0		AY188353					1343	20	491	7053	SEQF1705 | SEQF2004						
022	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Lautropia	mirabilis	Named	Oral	0		AY005030 | X73223					47671	7	191	5330	SEQF1967						
023	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Delftia	acidovorans	Named	Unassigned	0		AB020186				Comamonas acidivorans | Comamonas acidovorans | Pseudomonas acidovorans | Pseudomonas desmolytica | Pseudomonas indoloxidans	80866	121	694	44640	SEQF1413 | SEQF2536 | SEQF2537 | SEQF2709						
024	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Schlegelella	thermodepolymerans	Named	Unassigned	0	DSM 15264	AF125876				dehydroabietic acid-degrading bacterium DhA-71	215580	0	0	0	SEQF3155 | SEQF3156 | SEQF3160						
025	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Leptothrix	sp._HMT_025	Phylotype	Unassigned	0		AF385528				Oral Clone AV011a	712353	0	11	0							
026	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Schlegelella	aquatica	Named	Unassigned	0	LMG 23380	AF385538				Oral Clone CA004	376175	0	9	0							
027	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Cupriavidus	gilardii	Named	Unassigned	0		AY005039				Strain TFI C37KA	82541	0	0	0	SEQF2854						
028	Bacteria	Proteobacteria	Betaproteobacteria	Rhodocyclales	Rhodocyclaceae	Oryzomicrobium	terrae	Unnamed	Unassigned	0		AY005031				Strain TFI A08KA	712523	0	14	0							
029	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	vincentii	Named	Oral	0		AF033309					69710	59	207	9551	SEQF1610 | SEQF1947						
030	Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Corynebacteriaceae	Corynebacterium	afermentans	Named	Unassigned	0							38286	0	0	0	SEQF2886						
031	Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Corynebacteriaceae	Corynebacterium	amycolatum	Named	Unassigned	0							43765	0	0	0	SEQF2910 | SEQF2942 | SEQF2949 | SEQF2951 | SEQF2956 | SEQF2964 | SEQF2967 | SEQF2975 | SEQF2979 | SEQF2992 | SEQF2995 | SEQF2996 | SEQF3006 | SEQF3012 | SEQF3013 | SEQF3014 | SEQF3015 | SEQF3017 | SEQF3020 | SEQF3024 | SEQF3028 | SEQF3031 | SEQF3033 | SEQF3034 | SEQF3037						
032	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	sp._HMT_032	Phylotype	Unassigned	0		AF385547				Oral Clone AZ002	712508	0	8	0							
033	Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Corynebacteriaceae	Corynebacterium	appendicis	Named	Unassigned	0							163202	0	0	0	SEQF2915						
034	Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Corynebacteriaceae	Corynebacterium	aurimucosum	Named	Unassigned	0							169292	0	0	0	SEQF2936 | SEQF2938 | SEQF2939 | SEQF2944 | SEQF2948 | SEQF2950 | SEQF2971 | SEQF2981 | SEQF2989 | SEQF2991 | SEQF3001 | SEQF3009 | SEQF3010 | SEQF3019 | SEQF3032 | SEQF3042 | SEQF3043 | SEQF3045 | SEQF3046 | SEQF3048						
035	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus	paraphrohaemolyticus	Named	Oral	0	NCTC 10670	AY005034				Oral Clone BJ021	736	0	11	0	SEQF2918						
036	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus	sp._HMT_036	Unnamed	Oral	0		AY005033				Clone BJ095 | Strain P7A_FAAD5 | Strain W6487	712310	0	110	0	SEQF2869 | SEQF3061						
037	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Stenotrophomonas	nitritireducens	Named	Unassigned	0	ATCC BAA-12	AF385546				Oral Clone AY088	83617	0	82	0	SEQF2803						
038	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Atopobiaceae	Olsenella	uli	Named	Oral	0		AF292373				Atopobium uli | Lactobacillus uli	133926	19	43	7180	SEQF1031 | SEQF2631						
039	Bacteria	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Bdellovibrionaceae	Bdellovibrio	sp._HMT_039	Phylotype	Unassigned	0		AF385539				Oral Clone CA006	712185	0	1	0							
040	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	sp._HMT_040	Phylotype	Unassigned	0		AY005035				Oral Clone BB161	712259	0	3	0							
041	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobulbaceae	Desulfobulbus	sp._HMT_041	Phylotype	Oral	0		AY005037				Oral Clone R004	712258	0	875	0	SEQF2485 | SEQF2486						
042	Bacteria	Firmicutes	Clostridia	Eubacteriales	Peptostreptococcaceae	Mogibacterium	timidum	Named	Oral	0		U13042				Eubacterium timidum	35519	9	133	1657	SEQF2630 | SEQF3171						
044	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	sp._HMT_044	Phylotype	Oral	0		AY005038				Oral Clone BB120	712200	0	6	0							
045	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Alkalihalobacillus	clausii	Named	Unassigned	0		AB043853 | AJ297498					79880	69	12897	17592	SEQF1170						
046	Bacteria	Firmicutes	Bacilli	Bacillales	Gemellaceae	Gemella	morbillorum	Named	Oral	0	ATCC 27824	L14327 | Y13366				Diplococcus morbillorum | Peptostreptococcus morbillorum | Streptococcus morbillorum	29391	151	661	3184	SEQF2298	This species was formerly known as Streptococcus morbillorum but was moved to Gemella on the basis of phylogenetic analysis based on 16S rRNA sequence comparisons.	Facultative anaerobe producing small (<0.5 mm diameter) colonies after two days aerobic growth on Blood Agar plates. It is reported that anaerobic incubation may be required for growth on initial isolation but that strains become aerotolerant on subsequent subcultures.	Gram positive cocci found in pairs or short chains. Weakly fermentative and generally unreactive in commonly used biochemical and physiological tests and thus difficult to definitively identify by phenotypic means; molecular identification is recommended [1].	Found in dental plaque on the tongue and has been isolated from periodontal pockets in periodontitis and exudate from pericoronitis associated with erupting third molars	Although found as part of the normal microbiota of the mouth and gastrointestinal orogenital tracts Gemella morbillorum is capable of causing a wide range of infections. Most of these can be attributed to spread via the bloodstream and thus infective endocarditis is the commonest. Other infections include meningitis brain liver and lung abscess osteomyelitis and septic thrombophlebitis.	
047	Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Corynebacteriaceae	Corynebacterium	jeikeium	Named	Unassigned	0							38289	0	0	0	SEQF2978 | SEQF3023						
048	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	typhae	Phylotype	Unassigned	0		AF385540				Oral Clone CA007	712417	0	9	0							
049	Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Corynebacteriaceae	Corynebacterium	kroppenstedtii	Named	Unassigned	0							161879	0	0	0	SEQF2862						
050	Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Corynebacteriaceae	Corynebacterium	macginleyi	Named	Unassigned	0							38290	0	0	0	SEQF3149 | SEQF3161 | SEQF3162						
051	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Limosilactobacillus	vaginalis	Named	Oral	0		AY005048					1633	36	581	3736	SEQF1783						
052	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Limosilactobacillus	sp._HMT_052	Lost	Unassigned	0		To be submitted				Strain TFI DoxG2	671212	0	1	0							
053	Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Corynebacteriaceae	Corynebacterium	minutissimum	Named	Unassigned	0							38301	0	0	0	SEQF2878 | SEQF3047						
054	Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Corynebacteriaceae	Corynebacterium	pilbarense	Named	Unassigned	0							1288393	0	0	0	SEQF2969 | SEQF2998						
056	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	sp._HMT_056	Unnamed	Oral	0		AF385545				Oral Clone AY020	712620	0	35	3861	SEQF1847						
057	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	sp._HMT_057	Lost	Oral	0		AF385550				Oral Clone BE024	712621	0	22	0							
058	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	oralis	Named	Oral	0		AY005042 | AY005043 | AY005044 | AY278632				Oral Clone BM035 | Oral Clone BW009 | Oral Clone C3MLM097 | Oral Clone CH016 | Streptococcus oralis subsp. dentisani	712622	1	355	3580	SEQF1704	2017-09-08 (TC) This species was suggested to merge with <a href='http://www.homd.org/taxon=398'><I>Streptococcus oralis subsp. dentisani</i> (HOT398)</a> based on the published genomic study by Jensen et. al. (2016). <a href='http://ijs.microbiologyresearch.org/content/journal/ijsem/10.1099/ijsem.0.001433'>http://ijs.microbiologyresearch.org/content/journal/ijsem/10.1099/ijsem.0.001433</a>.  However since the 16S rRNA sequences AY005042 AY005043 AY005044 AY278632 that represent HOT058 form a distinct clade significantly away from that of HOT398 on the 16S rRNA phylogenetic tree these sequences may represent a distinct strain for the species. We retained this HOT but changed the name to 'Streptococcus oralis subsp. dentisani clade 058' so that future sequencing study can distinguish these sequences from others of this species.					
059	Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Corynebacteriaceae	Corynebacterium	propinquum	Named	Nasal	0							43769	0	0	0	SEQF3081						
060	Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Corynebacteriaceae	Corynebacterium	pseudodiphtheriticum	Named	Nasal	0							37637	0	0	0	SEQF2911 | SEQF2972 | SEQF3041						
061	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	sp._HMT_061	Unnamed	Oral	0		AF432131 | AF432132				Oral Clone DN025 | Oral Clone DP009	712623	0	49	0	SEQF3173						
062	Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Corynebacteriaceae	Corynebacterium	simulans	Named	Unassigned	0							146827	0	0	0	SEQF2866 | SEQF2952 | SEQF2955 | SEQF2961 | SEQF3002 | SEQF3005 | SEQF3029 | SEQF3036						
063	Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Corynebacteriaceae	Corynebacterium	singulare	Named	Unassigned	0							161899	0	0	0	SEQF2846 | SEQF3039						
064	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	sp._HMT_064	Unnamed	Oral	0		AF385574 | AY278609				Oral Clone C5MLM037 | Oral Clone EK048	712624	0	460	0	SEQF2905						
066	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	sp._HMT_066	Unnamed	Oral	0		AF432135 | AF481230				Oral Clone FN051 | Oral Clone MCE7_144	712626	0	127	0	SEQF1889						
070	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	oralis	Unnamed	Oral	0		AY005040				Hans strain 12A | Hans strain 7A	671226	0	132	0	SEQF1888						
071	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	oralis	Named	Oral	0	ATCC 15914	AY005041 | AY207062 | AY207064 | AY278631				Strain TFI H6 | Streptococcus tigurinus	1077464	0	226	3150	SEQF1913	2017-05-04 (TC) This species was renamed based on the published proposal by Jensen et. al. (2016). <a href='http://ijs.microbiologyresearch.org.ezp-prod1.hul.harvard.edu/content/journal/ijsem/10.1099/ijsem.0.001433'>http://ijs.microbiologyresearch.org.ezp-prod1.hul.harvard.edu/content/journal/ijsem/10.1099/ijsem.0.001433</a>					
072	Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Corynebacteriaceae	Corynebacterium	striatum	Named	Unassigned	0							43770	0	0	0	SEQF2859 | SEQF2999 | SEQF3044						
073	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	australis	Named	Oral	0	ATCC 700641	AF184974 | AF385525					113107	8	371	6393	SEQF2020						
074	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	sp._HMT_074	Lost	Oral	0		AF385526				Strain TFI T4-E3	712631	0	53	0							
075	Bacteria	Firmicutes	Clostridia	Eubacteriales	Ruminococcaceae	Ruminococcaceae_[G-1]	bacterium_HMT_075	Phylotype	Oral	0		AF287779				Oral Clone A035 | Oral Clone F058	541000	0	0	0							
076	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	warneri	Named	Oral	0		L37603				Staphylococcus warnerii	1292	203	1200	20673	SEQF1839 | SEQF2208 | SEQF2442 | SEQF2712 | SEQF2713						
077	Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Corynebacteriaceae	Corynebacterium	tuberculostearicum	Named	Unassigned	0							38304	0	0	0	SEQF2882 | SEQF2943 | SEQF2977 | SEQF2987 | SEQF2993 | SEQF2994 | SEQF3030						
078	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Oribacterium	sp._HMT_078	Unnamed	Oral	0		AF287771				Oral Clone AO068 | Strain F0190	652706	0	335	11275	SEQF1603 | SEQF2448	N/A	A strain of this taxa has recent been isolated F0190 but not yet characterized.				
080	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Butyrivibrio	sp._HMT_080	Phylotype	Oral	0		AF287772				Clone BB124	830	0	0	0							
081	Bacteria	Firmicutes	Clostridia	Eubacteriales	Peptostreptococcaceae	Peptostreptococcaceae_[G-7]	bacterium_HMT_081	Unnamed	Oral	0		AF287764				Clone BB142	186804	0	0	0	SEQF3179						
082	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Lachnoanaerobaculum	orale	Named	Oral	0	CCUG 60305 | DSM 24533 | N1	AF385552 | HQ877677				Clone BE088 | Lachnospiraceae bacterium oral taxon 082 str. F0431 | Lachnospiraceae sp. strain F0431 | Lachnospiraceae [G-1] sp. oral taxon 082	979627	1	2	0	SEQF1881	Recently named <EM>Lachnoanaerobaculum oral</EM> in paper '<EM>Lachnoanaerobaculum</EM> a new genus in <EM>Lachnospiraceae</EM>; characterization of <EM>Lachnoanaerobaculum</EM> <EM>umeaense</EM> gen. nov. sp. nov. isolated from human small intestine <EM>Lachnoanaerobaculum orale</EM> gen. nov. sp. nov. isolated from saliva and reclassification of <EM>Eubacterium saburreum</EM> (Prevot) Holdeman and Moore 1970 as <EM>Lachnoanaerobaculum saburreum</EM> comb. nov'. PMID: 22228654.  The genome for this strain is available as <EM>Lachnospiraceae</EM> bacterium oral taxon 082 str. F0431 AGRL00000000.  The name change is not yet refledted for the genome at NCBI (11-02-2012).					
083	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Lachnoanaerobaculum	sp._HMT_083	Unnamed	Oral	0		AF385557 | AF385562				Clone BR088 | Clone BS091	1164882	0	0	0	SEQF2917	N/A	It does not appear that the genome strain is available in any culture collection				
084	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Micrococcaceae	Kocuria	palustris	Named	Unassigned	0							71999	0	0	0	SEQF2861						
085	Bacteria	Firmicutes	Clostridia	Eubacteriales	Ruminococcaceae	Ruminococcaceae_[G-2]	bacterium_HMT_085	Phylotype	Oral	0		AF385563				Oral Clone BU014	541000	0	0	0							
086	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Lachnospiraceae_[G-7]	bacterium_HMT_086	Phylotype	Oral	0		AF385567				Oral Clone BU061	186803	0	0	0							
087	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Micrococcaceae	Micrococcus	luteus	Named	Unassigned	0							1270	0	0	0	SEQF2897						
088	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Lachnospiraceae_[G-2]	bacterium_HMT_088	Phylotype	Oral	0		AF287775					186803	0	0	0							
089	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Lachnoanaerobaculum	sp._HMT_089	Phylotype	Unassigned	0		AF287776				Oral Clone CK004	1164882	0	0	0							
090	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Butyrivibrio	sp._HMT_090	Phylotype	Unassigned	0		AF287773				Oral Clone CK030	830	0	0	0							
091	Bacteria	Firmicutes	Clostridia	Eubacteriales	Peptostreptococcaceae	Peptostreptococcaceae_[G-2]	bacterium_HMT_091	Phylotype	Oral	0		AF287762				Oral Clone CK047	186804	0	0	0							
092	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria	weaveri	Named	Oral	0		L10738				CDC group M-5	28091	10	221	7615	SEQF2330 | SEQF2331						
093	Bacteria	Firmicutes	Clostridia	Eubacteriales	Clostridiales_[F-1]	Clostridiales_[F-1][G-1]	bacterium_HMT_093	Phylotype	Oral	0		AF481213				Oral Clone CK059 | Oral Clone MCE7_107	186802	0	0	0							
094	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Lachnospiraceae_[G-10]	bacterium_HMT_094	Phylotype	Unassigned	0		AF287768				Oral Clone DA074	186803	0	2	0							
095	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Shuttleworthia	satelles	Named	Oral	0		AF385507 | AF385570 | AF399956					177972	4	104	4486	SEQF1045						
096	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Lachnospiraceae_[G-2]	bacterium_HMT_096	Unnamed	Oral	0		AF385508				DO008	186803	0	0	0	SEQF3057 | SEQF3712						
097	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Stomatobaculum	sp._HMT_097	Unnamed	Oral	0		AF385510				Oral Clone DO016	1213720	0	0	0							
098	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Moraxella	nonliquefaciens	Named	Nasal	0							478	0	0	0	SEQF2900						
099	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria	macacae	Named	Unassigned	0							496	0	0	0	SEQF2876						
100	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Lachnospiraceae_[G-3]	bacterium_HMT_100	Phylotype	Oral	0		AF385573				Oral Clone EI074	186803	0	0	0							
101	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria	perflava	Named	Unassigned	0							33053	0	0	0	SEQF3089 | SEQF3153						
102	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Oribacterium	sp._HMT_102	Unnamed	Oral	0		AF481218				Oral Clone FB046 | Oral Clone MCE7_60	671214	0	17	0	SEQF3175						
103	Bacteria	Firmicutes	Clostridia	Eubacteriales	Peptostreptococcaceae	Peptostreptococcaceae_[G-4]	bacterium_HMT_103	Phylotype	Oral	0		AJ012604				Oral Clone PUS9.170	186804	0	0	0							
104	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Paracoccus	yeei	Named	Unassigned	0							147645	0	0	0	SEQF2867						
105	Bacteria	Firmicutes	Clostridia	Eubacteriales	Peptostreptococcaceae	Peptostreptococcaceae_[G-1]	[Eubacterium]_infirmum	Named	Oral	0	NCTC 12940	AF287761 | U13039				Oral strain W 1417	186804	0	0	0	SEQF1695	Eubacterium infirmum belongs to a phylogenetic cluster distant from Eubacterium limosum the type species of the genus and is therefore not a member of Eubacterium sensu stricto. Along with many other members of this poorly-defined genus E. infirmum will be assigned to a novel genus in due course.	Slow growth on Fastidious Anaerobe Agar + 5% horse blood plates. After 7 days colonies are approximately 1 mm in diameter circular convex and translucent.	Cells are obligately anaerobic non-spore-forming nonmotile Gram-positive short rods (0.5 &micro;m by 1-2 &micro;m) [1]. Cells occur singly. Asaccharolytic. End-products of metabolism are moderate amounts of acetate and butyrate. The mol% G+C of the DNA is 38.	Found in the human mouth	Isolated from subgingival plaque in periodontitis.	
106	Bacteria	Firmicutes	Clostridia	Eubacteriales	Peptostreptococcaceae	Peptostreptococcaceae_[G-7]	[Eubacterium]_yurii	Named	Oral	0		AF287765				Eubacterium yurii | Oral Strain TFI A3MT	186804	0	0	0							
107	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Lachnoanaerobaculum	umeaense	Named	Oral	0		AF287777 | FJ577253 | FJ796700				Lachnospiraceae bacterium oral taxon 107 | Lachnospiraceae [G-1] sp. oral taxon 107 | Oral Strain C27KA | Oral Strain F0167	617123	1	2	0	SEQF1478	Lachnospiraceae bacterium Oral taxon 107 strain F0167 has been isolated from a human subject by the Moore's Laboratory in March 1988. The subject was a 14 year old American white male. The bacteria was isolated from the subgingival oral biofilm. The bacteria was grown in anaerobic conditions. The partial 16S ribosomal RNA gene was deposited to GenBank under the reference FJ577253. The strain is available at www.bei.org under the reference HM-7. The genome of this strain is available as ADDS00000000.  Recently named <EM>Lachnoanaerobaculum umeaense</EM> in '<EM>Lachnospiraceae</EM>; characterization of <EM>Lachnoanaerobaculum</EM> <EM>umeaense</EM> gen. nov. sp. nov. isolated from human small intestine <EM>Lachnoanaerobaculum orale</EM> gen. nov. sp. nov. isolated from saliva and reclassification of <EM>Eubacterium saburreum</EM> (Prevot) Holdeman and Moore 1970 as <EM>Lachnoanaerobaculum saburreum</EM> comb. nov'. PMID: 22228654.   The name change is not yet refledted for the genome at NCBI (11-02-2012).					
108	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Oribacterium	asaccharolyticum	Named	Oral	0	ACB7	AF287770				Oral Strain TFI FTB41	1501332	0	27	4384	SEQF1854						
109	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Peptoniphilus	harei	Named	Unassigned	0							54005	0	0	0	SEQF2888 | SEQF2960 | SEQF3035						
110	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Parvimonas	sp._HMT_110	Unnamed	Oral	0		AF287767 | AY349390				Oral Clone AJ062 | Oral Clone FJ023 | Oral Clone HE064	671230	0	62	3209	SEQF1676						
