,phylum,class,order,family,genus,species
2172,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter,NA
230361,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter,Methanobrevibacter millerae
2638681,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter,NA
1609968,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter,Methanobrevibacter sp. YE315
2160,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium,NA
2627676,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium,NA
2731220,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium,Methanobacterium alkalithermotolerans
183968,Euryarchaeota,Thermococci,NA,NA,NA,NA
2258,Euryarchaeota,Thermococci,Thermococcales,NA,NA,NA
2259,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,NA,NA
2263,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,NA
1712654,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,Thermococcus piezophilus
187880,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,Thermococcus radiotolerans
1783275,NA,NA,NA,NA,NA,NA
28889,Thermoproteota,NA,NA,NA,NA,NA
183924,Thermoproteota,Thermoprotei,NA,NA,NA,NA
114380,Thermoproteota,Thermoprotei,Desulfurococcales,NA,NA,NA
2272,Thermoproteota,Thermoprotei,Desulfurococcales,Desulfurococcaceae,NA,NA
2273,Thermoproteota,Thermoprotei,Desulfurococcales,Desulfurococcaceae,Desulfurococcus,NA
94694,Thermoproteota,Thermoprotei,Desulfurococcales,Desulfurococcaceae,Desulfurococcus,Desulfurococcus amylolyticus
2281,Thermoproteota,Thermoprotei,Sulfolobales,NA,NA,NA
118883,Thermoproteota,Thermoprotei,Sulfolobales,Sulfolobaceae,NA,NA
2284,Thermoproteota,Thermoprotei,Sulfolobales,Sulfolobaceae,Sulfolobus,NA
43080,Thermoproteota,Thermoprotei,Sulfolobales,Sulfolobaceae,Sulfolobus,Sulfolobus islandicus
2785056,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Rhizobium,Rhizobium sp. 007
2267833,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Rhizobium,Rhizobium oryzihabitans
1867715,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Boseaceae,Bosea,Bosea sp. Tri-49
911,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Nitrobacteraceae,Nitrobacter,NA
912,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Nitrobacteraceae,Nitrobacter,Nitrobacter hamburgensis
1433986,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Actibacterium,NA
2649852,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Actibacterium,NA
1609966,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Actibacterium,Actibacterium sp. EMB200-NS6
1046,Pseudomonadota,Gammaproteobacteria,Chromatiales,Chromatiaceae,NA,NA
53392,Pseudomonadota,Gammaproteobacteria,Chromatiales,Chromatiaceae,Thiodictyon,NA
1166950,Pseudomonadota,Gammaproteobacteria,Chromatiales,Chromatiaceae,Thiodictyon,Candidatus Thiodictyon syntrophicum
1990687,Actinomycetota,Actinomycetes,Mycobacteriales,Nocardiaceae,Rhodococcus,Rhodococcus oxybenzonivorans
188770,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces koyangensis
85015,Actinomycetota,Actinomycetes,Propionibacteriales,Nocardioidaceae,NA,NA
1839,Actinomycetota,Actinomycetes,Propionibacteriales,Nocardioidaceae,Nocardioides,NA
2615069,Actinomycetota,Actinomycetes,Propionibacteriales,Nocardioidaceae,Nocardioides,NA
196162,Actinomycetota,Actinomycetes,Propionibacteriales,Nocardioidaceae,Nocardioides,Nocardioides sp. JS614
186818,Bacillota,Bacilli,Bacillales,Planococcaceae,NA,NA
1372,Bacillota,Bacilli,Bacillales,Planococcaceae,Planococcus,NA
414778,Bacillota,Bacilli,Bacillales,Planococcaceae,Planococcus,Planococcus donghaensis
89966,Bacteroidota,Cytophagia,Cytophagales,Hymenobacteraceae,Hymenobacter,NA
2615202,Bacteroidota,Cytophagia,Cytophagales,Hymenobacteraceae,Hymenobacter,NA
2675877,Bacteroidota,Cytophagia,Cytophagales,Hymenobacteraceae,Hymenobacter,Hymenobacter sp. BRD67
293431,Euryarchaeota,Halobacteria,Halobacteriales,Haloferacaceae,Haloquadratum,NA
293091,Euryarchaeota,Halobacteria,Halobacteriales,Haloferacaceae,Haloquadratum,Haloquadratum walsbyi
2173,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter,Methanobrevibacter smithii
712624,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus sp. oral taxon 064
119603,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,NA
1334,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus dysgalactiae
1307,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus suis
1358,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,Lactococcus lactis
1359,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,Lactococcus cremoris
1351,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus faecalis
1243,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Leuconostoc,NA
33964,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Leuconostoc,Leuconostoc citreum
2767842,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lactiplantibacillus,NA
1590,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lactiplantibacillus,Lactiplantibacillus plantarum
2742598,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,NA
1598,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus reuteri
1578,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,NA
83683,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus amylolyticus
1396,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus cereus
1423,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus subtilis
2800373,Bacillota,Bacilli,Bacillales,Bacillaceae,Priestia,NA
1404,Bacillota,Bacilli,Bacillales,Bacillaceae,Priestia,Priestia megaterium
2675229,Bacillota,Bacilli,Bacillales,Bacillaceae,Peribacillus,NA
1478,Bacillota,Bacilli,Bacillales,Bacillaceae,Peribacillus,Peribacillus simplex
562959,Bacillota,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,Paenibacillus cellulositrophicus
1473112,Bacillota,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,Paenibacillus guangzhouensis
246432,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus equorum
70255,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus condimenti
1849822,Bacillota,Clostridia,Peptostreptococcales,Peptostreptococcaceae,Paraclostridium,NA
1490,Bacillota,Clostridia,Peptostreptococcales,Peptostreptococcaceae,Paraclostridium,Paraclostridium bifermentans
1502,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,Clostridium perfringens
1491,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,Clostridium botulinum
186803,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,NA,NA
28050,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Lachnospira,NA
39485,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Lachnospira,Lachnospira eligens
713030,Bacillota,Negativicutes,Selenomonadales,Selenomonadaceae,Selenomonas,Selenomonas sp. oral taxon 136
971,Bacillota,Negativicutes,Selenomonadales,Selenomonadaceae,Selenomonas,Selenomonas ruminantium
1737404,Bacillota,Tissierellia,NA,NA,NA,NA
1737405,Bacillota,Tissierellia,Tissierellales,NA,NA,NA
1570339,Bacillota,Tissierellia,Tissierellales,Peptoniphilaceae,NA,NA
165779,Bacillota,Tissierellia,Tissierellales,Peptoniphilaceae,Anaerococcus,NA
33034,Bacillota,Tissierellia,Tissierellales,Peptoniphilaceae,Anaerococcus,Anaerococcus prevotii
1781,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium marinum
39694,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium poriferae
1286181,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium arabiense
1800,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium chubuense
670516,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Mycobacteroides,NA
36809,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Mycobacteroides,Mycobacteroides abscessus
1570939,Actinomycetota,Actinomycetes,Mycobacteriales,Nocardiaceae,Rhodococcus,Rhodococcus sp. 2G
2490853,Actinomycetota,Actinomycetes,Mycobacteriales,Nocardiaceae,Rhodococcus,Rhodococcus sp. NJ-530
2054902,Actinomycetota,Actinomycetes,Mycobacteriales,Nocardiaceae,Rhodococcus,Rhodococcus sp. AQ5-07
2663121,Actinomycetota,Actinomycetes,Mycobacteriales,Nocardiaceae,Rhodococcus,Rhodococcus sp. WAY2
1925550,Actinomycetota,Actinomycetes,Mycobacteriales,Nocardiaceae,Rhodococcus,Rhodococcus sp. M8
1723645,Actinomycetota,Actinomycetes,Mycobacteriales,Nocardiaceae,Rhodococcus,Rhodococcus sp. 008
1045808,Actinomycetota,Actinomycetes,Mycobacteriales,Nocardiaceae,Rhodococcus,Rhodococcus sp. YL-1
225326,Actinomycetota,Actinomycetes,Mycobacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium halotolerans
36822,Actinomycetota,Actinomycetes,Mycobacteriales,Gordoniaceae,Gordonia,Gordonia rubripertincta
2657482,Actinomycetota,Actinomycetes,Mycobacteriales,Gordoniaceae,Gordonia,NA
2698900,Actinomycetota,Actinomycetes,Mycobacteriales,Gordoniaceae,Gordonia,Gordonia sp. JH63
337191,Actinomycetota,Actinomycetes,Mycobacteriales,Gordoniaceae,Gordonia,Gordonia sp. KTR9
1522758,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces sp. ADI95-16
465541,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces sp. Mg1
2768068,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces genisteinicus
2094021,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces sp. WAC00288
206662,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces sp. FR-008
2801033,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces sp. CA-256286
2849069,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,NA
53451,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces rutgersensis
68209,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces globosus
146923,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces parvulus
68239,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces mirabilis
1535768,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces lunaelactis
2839105,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,NA
68280,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces violaceusniger
347213,Actinomycetota,Actinomycetes,Micrococcales,Micrococcaceae,Arthrobacter,Arthrobacter sp. J3.49
1652545,Actinomycetota,Actinomycetes,Micrococcales,Micrococcaceae,Arthrobacter,Arthrobacter sp. YC-RL1
2211210,Actinomycetota,Actinomycetes,Micrococcales,Micrococcaceae,Arthrobacter,Arthrobacter dokdonellae
361575,Actinomycetota,Actinomycetes,Micrococcales,Micrococcaceae,Pseudarthrobacter,Pseudarthrobacter phenanthrenivorans
2735317,Actinomycetota,Actinomycetes,Micrococcales,Micrococcaceae,Paenarthrobacter,Paenarthrobacter sp. YJN-D
32207,Actinomycetota,Actinomycetes,Micrococcales,Micrococcaceae,Rothia,NA
396015,Actinomycetota,Actinomycetes,Micrococcales,Micrococcaceae,Rothia,Rothia terrae
936902,Actinomycetota,Actinomycetes,Micrococcales,Micrococcaceae,Micrococcus,Micrococcus sp. MG-2010-D12
1714373,Actinomycetota,Actinomycetes,Micrococcales,Microbacteriaceae,Microbacterium,Microbacterium sp. No. 7
447237,Actinomycetota,Actinomycetes,Micrococcales,Microbacteriaceae,Frondihabitans,NA
2626248,Actinomycetota,Actinomycetes,Micrococcales,Microbacteriaceae,Frondihabitans,NA
1795630,Actinomycetota,Actinomycetes,Micrococcales,Microbacteriaceae,Frondihabitans,Frondihabitans sp. PAMC 28766
2034,Actinomycetota,Actinomycetes,Micrococcales,Microbacteriaceae,Curtobacterium,NA
69373,Actinomycetota,Actinomycetes,Micrococcales,Microbacteriaceae,Curtobacterium,Curtobacterium pusillum
2035,Actinomycetota,Actinomycetes,Micrococcales,Microbacteriaceae,Curtobacterium,Curtobacterium flaccumfaciens
69578,Actinomycetota,Actinomycetes,Micrococcales,Microbacteriaceae,Cryobacterium,NA
2649013,Actinomycetota,Actinomycetes,Micrococcales,Microbacteriaceae,Cryobacterium,NA
1926290,Actinomycetota,Actinomycetes,Micrococcales,Microbacteriaceae,Cryobacterium,Cryobacterium sp.
110932,Actinomycetota,Actinomycetes,Micrococcales,Microbacteriaceae,Leifsonia,NA
150026,Actinomycetota,Actinomycetes,Micrococcales,Microbacteriaceae,Leifsonia,Leifsonia shinshuensis
216816,Actinomycetota,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium longum
2619320,Actinomycetota,Actinomycetes,Pseudonocardiales,Pseudonocardiaceae,Pseudonocardia,NA
1096856,Actinomycetota,Actinomycetes,Pseudonocardiales,Pseudonocardiaceae,Pseudonocardia,Pseudonocardia sp. EC080619-01
1688404,Actinomycetota,Actinomycetes,Pseudonocardiales,Pseudonocardiaceae,Pseudonocardia,Pseudonocardia sp. EC080610-09
1813,Actinomycetota,Actinomycetes,Pseudonocardiales,Pseudonocardiaceae,Amycolatopsis,NA
2618356,Actinomycetota,Actinomycetes,Pseudonocardiales,Pseudonocardiaceae,Amycolatopsis,NA
1896961,Actinomycetota,Actinomycetes,Pseudonocardiales,Pseudonocardiaceae,Amycolatopsis,Amycolatopsis sp. AA4
85012,Actinomycetota,Actinomycetes,Streptosporangiales,NA,NA,NA
2004,Actinomycetota,Actinomycetes,Streptosporangiales,Streptosporangiaceae,NA,NA
2000,Actinomycetota,Actinomycetes,Streptosporangiales,Streptosporangiaceae,Streptosporangium,NA
2001,Actinomycetota,Actinomycetes,Streptosporangiales,Streptosporangiaceae,Streptosporangium,Streptosporangium roseum
83676,Actinomycetota,Actinomycetes,Streptosporangiales,Nocardiopsaceae,NA,NA
104204,Actinomycetota,Actinomycetes,Streptosporangiales,Nocardiopsaceae,Streptomonospora,NA
2635841,Actinomycetota,Actinomycetes,Streptosporangiales,Nocardiopsaceae,Streptomonospora,NA
2498135,Actinomycetota,Actinomycetes,Streptosporangiales,Nocardiopsaceae,Streptomonospora,Streptomonospora litoralis
84995,Actinomycetota,Rubrobacteria,NA,NA,NA,NA
84996,Actinomycetota,Rubrobacteria,Rubrobacterales,NA,NA,NA
84997,Actinomycetota,Rubrobacteria,Rubrobacterales,Rubrobacteraceae,NA,NA
42255,Actinomycetota,Rubrobacteria,Rubrobacterales,Rubrobacteraceae,Rubrobacter,NA
2051957,Actinomycetota,Rubrobacteria,Rubrobacterales,Rubrobacteraceae,Rubrobacter,Rubrobacter indicoceani
2767358,Mycoplasmatota,NA,Mycoplasmoidales,Metamycoplasmataceae,Mycoplasmopsis,NA
29555,Mycoplasmatota,NA,Mycoplasmoidales,Metamycoplasmataceae,Mycoplasmopsis,Mycoplasmopsis canis
76629,Mycoplasmatota,NA,Mycoplasmoidales,Metamycoplasmataceae,Mycoplasmopsis,Mycoplasmopsis gallopavonis
171284,Mycoplasmatota,NA,Mycoplasmoidales,Metamycoplasmataceae,Mycoplasmopsis,Mycoplasmopsis cynos
2623546,Deinococcota,Deinococci,Deinococcales,Deinococcaceae,Deinococcus,NA
2652443,Deinococcota,Deinococci,Deinococcales,Deinococcaceae,Deinococcus,Deinococcus sp. AJ005
2080419,Deinococcota,Deinococci,Deinococcales,Deinococcaceae,Deinococcus,Deinococcus sp. NW-56
1299,Deinococcota,Deinococci,Deinococcales,Deinococcaceae,Deinococcus,Deinococcus radiodurans
56957,Deinococcota,Deinococci,Thermales,Thermaceae,Thermus,Thermus oshimai
28072,Cyanobacteriota,Cyanophyceae,Nostocales,Nostocaceae,Nostoc,Nostoc sp. PCC 7524
1163,Cyanobacteriota,Cyanophyceae,Nostocales,Nostocaceae,Anabaena,NA
1165,Cyanobacteriota,Cyanophyceae,Nostocales,Nostocaceae,Anabaena,Anabaena cylindrica
2661849,Cyanobacteriota,Cyanophyceae,Nostocales,Calotrichaceae,NA,NA
1186,Cyanobacteriota,Cyanophyceae,Nostocales,Calotrichaceae,Calothrix,NA
938406,Cyanobacteriota,Cyanophyceae,Nostocales,Calotrichaceae,Calothrix,Calothrix brevissima
52604,Cyanobacteriota,Cyanophyceae,Pleurocapsales,NA,NA,NA
1890498,Cyanobacteriota,Cyanophyceae,Pleurocapsales,Dermocarpellaceae,NA,NA
102115,Cyanobacteriota,Cyanophyceae,Pleurocapsales,Dermocarpellaceae,Stanieria,NA
102116,Cyanobacteriota,Cyanophyceae,Pleurocapsales,Dermocarpellaceae,Stanieria,Stanieria cyanosphaera
2650499,Cyanobacteriota,Cyanophyceae,Leptolyngbyales,Leptolyngbyaceae,Leptolyngbya,NA
1752064,Cyanobacteriota,Cyanophyceae,Leptolyngbyales,Leptolyngbyaceae,Leptolyngbya,Leptolyngbya sp. NIES-3755
1115757,Cyanobacteriota,Cyanophyceae,Leptolyngbyales,Leptolyngbyaceae,Leptolyngbya,Leptolyngbya sp. BL0902
1890436,Cyanobacteriota,Cyanophyceae,Pseudanabaenales,Pseudanabaenaceae,NA,NA
1152,Cyanobacteriota,Cyanophyceae,Pseudanabaenales,Pseudanabaenaceae,Pseudanabaena,NA
2593292,Cyanobacteriota,Cyanophyceae,Pseudanabaenales,Pseudanabaenaceae,Pseudanabaena,NA
685565,Cyanobacteriota,Cyanophyceae,Pseudanabaenales,Pseudanabaenaceae,Pseudanabaena,Pseudanabaena sp. ABRG5-3
486,Pseudomonadota,Betaproteobacteria,Neisseriales,Neisseriaceae,Neisseria,Neisseria lactamica
485,Pseudomonadota,Betaproteobacteria,Neisseriales,Neisseriaceae,Neisseria,Neisseria gonorrhoeae
538,Pseudomonadota,Betaproteobacteria,Neisseriales,Neisseriaceae,Eikenella,NA
2528037,Pseudomonadota,Betaproteobacteria,Neisseriales,Neisseriaceae,Eikenella,Eikenella exigua
539,Pseudomonadota,Betaproteobacteria,Neisseriales,Neisseriaceae,Eikenella,Eikenella corrodens
1637837,Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia savannae
87883,Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia multivorans
1207504,Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia pseudomultivorans
179879,Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia anthina
95486,Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia cenocepacia
1795043,Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia sp. PAMC 26561
758796,Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia sp. RPE67
758782,Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia sp. THE68
337,Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia glumae
876364,Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Cupriavidus,Cupriavidus sp. USMAA2-4
248026,Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Cupriavidus,Cupriavidus pinatubonensis
28097,Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Ralstonia,Ralstonia syzygii
3014751,Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Paraburkholderia,Paraburkholderia largidicola
2547399,Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Paraburkholderia,Paraburkholderia pallida
148447,Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Paraburkholderia,Paraburkholderia phymatum
134536,Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Paraburkholderia,Paraburkholderia caledonica
252970,Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Paraburkholderia,Paraburkholderia phenoliruptrix
2743470,Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Comamonas,Comamonas antarctica
80865,Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Delftia,NA
80866,Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Delftia,Delftia acidovorans
2792224,Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Diaphorobacter,Diaphorobacter sp. JS3051
283,Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Comamonas,NA
2638500,Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Comamonas,NA
1232667,Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Comamonas,Comamonas sp. 7D-2
2638319,Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Polaromonas,NA
1840265,Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Polaromonas,Polaromonas sp. E3S
2651974,Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Hydrogenophaga,Hydrogenophaga sp. BPS33
217204,Pseudomonadota,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter,Achromobacter insolitus
1141883,Pseudomonadota,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Massilia,Massilia putida
316612,Pseudomonadota,Betaproteobacteria,Burkholderiales,Sphaerotilaceae,Methylibium,NA
105560,Pseudomonadota,Betaproteobacteria,Burkholderiales,Sphaerotilaceae,Methylibium,Methylibium petroleiphilum
33057,Pseudomonadota,Betaproteobacteria,Rhodocyclales,Zoogloeaceae,Thauera,NA
2609274,Pseudomonadota,Betaproteobacteria,Rhodocyclales,Zoogloeaceae,Thauera,NA
2005884,Pseudomonadota,Betaproteobacteria,Rhodocyclales,Zoogloeaceae,Thauera,Thauera sp. K11
119066,Pseudomonadota,Betaproteobacteria,NA,NA,NA,NA
327159,Pseudomonadota,Betaproteobacteria,NA,NA,Candidatus Accumulibacter,NA
327160,Pseudomonadota,Betaproteobacteria,NA,NA,Candidatus Accumulibacter,Candidatus Accumulibacter phosphatis
2020311,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Rhizobium,Rhizobium sp. Kim5
2731096,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Rhizobium,Rhizobium sp. NZLR1
1432050,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Rhizobium,Rhizobium etli
2291939,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Rhizobium,Rhizobium sp. ZX09
2603277,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Rhizobium,Rhizobium sp. WL3
1538159,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Rhizobium,Rhizobium hidalgonense
448181,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Ciceribacter,Ciceribacter selenitireducens
240521,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Rhizobium,Rhizobium daejeonense
1138190,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Rhizobium,Rhizobium binae
1138189,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Rhizobium,Rhizobium bangladeshense
373,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Agrobacterium,Agrobacterium vitis
28099,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Agrobacterium,Agrobacterium rubi
2632611,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Agrobacterium,NA
2579248,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Agrobacterium,Agrobacterium sp. CGMCC 11546
1183413,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Agrobacterium,Agrobacterium salinitolerans
160699,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Agrobacterium,Agrobacterium larrymoorei
1903858,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Pseudorhizobium,NA
1335061,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Pseudorhizobium,Pseudorhizobium flavum
2613773,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Sinorhizobium,Sinorhizobium sp. BG8
194963,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Sinorhizobium,Sinorhizobium americanum
2853332,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Peteryoungia,NA
1813451,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Peteryoungia,Peteryoungia desertarenae
2282523,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Methylobacteriaceae,Methylorubrum,NA
223967,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Methylobacteriaceae,Methylorubrum,Methylorubrum populi
408,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Methylobacteriaceae,Methylorubrum,Methylorubrum extorquens
2666139,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Phyllobacteriaceae,Aminobacter,Aminobacter sp. MDW-2
374606,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Phyllobacteriaceae,Aminobacter,Aminobacter sp. MSH1
